"addon"
{
	//"DOTA_InventoryMenu_Sell"    "商店出售"
	"DOTA_InventoryMenu_LockCombine"    "锁定"
	"DOTA_InventoryMenu_UnlockCombine"    "解锁"
	//"DOTA_InventoryMenu_LockCombine"    "出售"
	//"DOTA_InventoryMenu_UnlockCombine"    "出售"
	"DOTA_InventoryMenu_MoveToStash"    "整理地面物品"
	
	"td_pawn_count"		"怪物存活数：{d:count} / {d:max_count}"
	"td_food_count"			"{d:count} / {d:max_count}"
	"td_food_count_text"	"人口上限"
	"td_creature_kill_count"		"怪物击杀数：{d:count}"
	"td_creature_kill_count_text"	"击杀数"
	"td_tower_dps_title"  "伤害统计"
	"td_attacking_wave"		"第{d:wave}波"	
	"td_type"	"类型："
	"td_select_auto_random_mode"	"自动随机卡片模式"	
	"td_auto_random_mode_tip"	"自动随机卡片模式下无法自由分配卡池，请点击底部的下一步按钮。</font>"	
	"td_gamepoint_desc"		"积分<br>通过游戏胜利或排行榜奖励获得，通过的波数越高获得积分越多。"	
	"td_card_pool"		"卡池"
	"td_card_group"	    "卡组"

	"td_remove_card"	"移除卡牌"
	"td_show_card_info"	"显示信息"
	"td_select_card"	"选择卡牌"
	"td_select_bonus_card"	"选择奖励卡牌（消耗20点积分）"
	"td_card_pool_note"	"注意"
	"td_card_pool_note_desc"	"注意：<br><br>在<font color='#FFB207'>多人</font>时准备时间为<font color='#FFB207'>5分钟</font>，在<font color='#FFB207'>单人</font>时准备时间为<font color='#FFB207'>30分钟</font>，请先在单人时配置好卡组。<br><br>每张SSR/SR/R卡最多只能放5张到卡组<br>每张N卡最多只能放10张到卡组<br>物品最多4张"
	"td_clear_all"		"清空卡组"
	"td_clear_all_question"		"你确定清空卡组？"
	"td_rename_group"  "重命名卡组"
	"td_rename_group_text"  "请输入卡组名称："

	"td_ready_title1"		"配置卡组"
	"td_ready_title1_desc"		"在多人时准备时间为<font color='#FFB207'>5分钟</font>，在单人时准备时间为<font color='#FFB207'>30分钟</font>，请记得保存卡组"
	"td_ready_title2"		"选择难度"
	"td_ready_title2_desc"		""
	"td_ready_title3"		"等待"
	"td_ready_title3_desc"		"等待其他玩家完成配置"
	
	"avalon_store_name"			"捐助"
			
	"difficulty_text_1"  "新手难度"
	"difficulty_text_2"  "简单难度"
	"difficulty_text_3"  "普通难度"
	"difficulty_text_4"  "困难难度"
	"difficulty_text_5"  "Ｅｘｔｒａ"
	"difficulty_text_6"  "无尽模式"
	"difficulty_text_7"  "挑战模式"
	"difficulty_text_8"  "娱乐模式"	
	
	"td_select_start_card"   "选择初始卡"
	
	"td_rank_list_100"		"排行榜"
	"td_rank_list_100_desc"		"TOP 100 排行榜"
	"td_team_rank_list_100"		"组队排行榜"
	"td_team_rank_list_100_desc"		"TOP 100 排行榜（组队）"
	"td_rank_list_100_tip"    "<font color='#FFB207'>上榜要求：</font><br/>Extra以上所有难度，最大有效波数超过排行榜第100名。相同阵容只取最高者上榜。相同阵容指输出第1名相同且伤害占比达到60%以上，或者合计伤害输出占比达到80%以上的卡相同。<br/><br/>点击打开排行榜。"

	"td_kick_vote"		"投票"
	"kick_player_1"   "将<font color='#FFB207'>左上角</font>玩家踢出游戏"
	"kick_player_2"   "将<font color='#FFB207'>右上角</font>玩家踢出游戏"
	"kick_player_3"   "将<font color='#FFB207'>右下角</font>玩家踢出游戏"
	"kick_player_4"   "将<font color='#FFB207'>左下角</font>玩家踢出游戏"
	"kick_player_unauth"    "只有还在游戏中的玩家才能发起投票"
	"kick_player_ask"   "是否同意？"
	"yes"   "是"
	"no"   "否"	
	"th_ai_choose"  "是否让AI自动释放以下技能：<br/>"
	"skill"   "技能"

	"td_tutorial_video"	"攻略"
	"td_video_tip"		"如果你想看教学视频可以按F9暂停游戏，最好是一个人的时候暂停游戏，攻略投稿请进群76163954"	

	"td_strategy_0_left_title"  "【视频】"
	"td_strategy_0_main_title"  "新手必看，最全整理合集"
	"td_strategy_0_sub_title"  "P1：游戏下载及双白太太运营（视频中是n1 1500开局，ex及之后4500开局只会更容易）"	
	//http://player.bilibili.com/player.html?aid=48498947&cid=37975778&page=1
	"td_strategy_0_url"  "http://static.yueyutech.com/bilibili/index.html?u=Ly9wbGF5ZXIuYmlsaWJpbGkuY29tL3BsYXllci5odG1sP2FpZD00ODQ5ODk0NyZjaWQ9Mzc5NzU3NzgmcGFnZT0x"
	"td_strategy_0_image"  ""
	"td_strategy_0_title1"  "阵容构成"
	"td_strategy_0_text1"  "更新中..."
	"td_strategy_0_title2"  "运营方法"
	"td_strategy_0_text2"  ""
	"td_strategy_0_title3"  "卡组清单"
	"td_strategy_0_text3"  ""
	"td_strategy_0_title4"  "站位图"
	"td_strategy_0_text4"  ""
	
	"td_strategy_1_left_title"  "【视频】"
	"td_strategy_1_main_title"  "新手必看，最全整理合集"
	"td_strategy_1_sub_title"  "P2：秋静叶开局运营（相对双白要轻松许多，没有什么严格要求，懒人必备）"	
	"td_strategy_1_url"  "http://static.yueyutech.com/bilibili/index.html?u=Ly9wbGF5ZXIuYmlsaWJpbGkuY29tL3BsYXllci5odG1sP2FpZD00ODQ5ODk0NyZjaWQ9Mzc5NzU3NzgmcGFnZT0y"
	"td_strategy_1_image"  ""
